country_id,latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
CAN,59.32815,-122.71409,337.42,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.86,8.76,N
CAN,59.3285,-122.703,349.74,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,289.95,8.76,N
CAN,59.32883,-122.69199,336.55,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.62,8.74,N
CAN,59.32986,-122.76235,297.32,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.59,2.53,N
CAN,59.33017,-122.75112,310.67,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.44,2.53,N
CAN,59.33048,-122.74018,322.93,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,287.07,5.31,N
CAN,59.33078,-122.72921,323.88,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.2,5.31,N
CAN,59.33108,-122.71834,327.36,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.75,8.33,N
CAN,59.33139,-122.70721,323.42,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.63,8.33,N
CAN,59.33169,-122.69619,306.54,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.12,8.58,N
CAN,59.33304,-122.76991,304.98,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.75,3.31,N
CAN,59.3334,-122.75865,312.94,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.67,3.27,N
CAN,59.33374,-122.74758,317.97,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.54,3.27,N
CAN,59.33408,-122.73657,311,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.6,3.07,N
CAN,59.33442,-122.72563,311.28,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.92,3.07,N
CAN,59.33586,-122.78539,309.85,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.48,4.09,N
CAN,59.33617,-122.77425,313.98,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.18,4.09,N
CAN,59.33648,-122.76308,318.83,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.83,3.86,N
CAN,59.33678,-122.75198,303.12,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.12,3.86,N
CAN,59.33709,-122.74094,298.29,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.89,2.2,N
CAN,59.33747,-120.39115,298.77,0.51,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.73,1.62,N
CAN,59.33756,-120.38223,301.83,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,284.19,1.62,N
CAN,59.33766,-120.37328,324.01,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,288.04,5.57,N
CAN,59.33775,-120.36436,341.51,0.5,0.66,2025-06-30,858,N20,VIIRS,n,2.0NRT,290.96,5.57,N
CAN,59.33897,-122.79284,298.64,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,282.8,2.32,N
CAN,59.33931,-122.78172,312.2,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,285.46,3.31,N
CAN,59.33966,-122.77056,317.54,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,286.34,3.31,N
CAN,59.34001,-122.75945,295.18,0.61,0.71,2025-06-30,858,N20,VIIRS,n,2.0NRT,283.56,3.27,N
